Title,Views,Upload_Date,Likes,Comments,Description
The Terrorist Who almost Captured Nepal,805558,2023-10-31,13274,559,"In 2007BS, Nepal witnessed one of its biggest revolution against the autocratic Rana Regime. Nepal Congress took up arms to fight against the Ranas and fought in various places. The Regime finally ended after Delhi Agreement between King Tribhuvan, Rana PM Mohan Shumsher and Nepali Congress. So, it looked like Nepal was back finally on track, but several fighters refused to stop, they felt betrayed by the agreement. One of them was, Dr KI Singh, who was arrested on charges of Murder and Robbery, but instead KI Singh along with his men captured Singh Durbar. For almost 12 hours, KI Singh was the most powerful man in Nepal and had almost declared himself as the new PM. This is the story of this rebel fighter. 

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Parash Bikram Khadka 
https://instagram.com/parashbikramk/

Written by: Bijay Sapkota(https://www.facebook.com/bijay.sapkota.71465)
Edited by:  Dungrey (https://www.instagram.com/khadka__ajay/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)"
Why Nepali Tea can make us RICH?,213442,2023-10-26,8174,370,"Nepal's tea industry is struggling. For too long, Nepali tea has been overshadowed by Indian tea - the truth is Nepal grows great tea but hasn't been able to brand and sell it on its own. Nepali farmers often sell their tea to Indian companies who then repackage and resell that same tea as Indian tea! This needs to change if Nepal's tea industry is to thrive. In this video, I'll discuss how Nepal can overcome this challenge by focusing on marketing, branding and selling directly to consumers. Nepali tea has a rich history, great flavor and massive potential - if Nepal can get its tea branding right, it has a real chance to compete with Indian tea and beyond. So join me as we explore how Nepal can truly showcase its tea to the world.


Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Rubina Subedi(https://www.instagram.com/_rubina22)

Written by: Saugat Acharya (https://www.facebook.com/saugat.acharya.1004)
Edited by: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Thumbnail by: Biphson Nepali(https://www.instagram.com/biphson_nepali/)"
Why arent Nepali Flying Kites in Nepal these days?,288767,2023-10-19,9288,547,"There was a time when, during the time of Dashain, the sky were covered with kites. Kite flying was booming in Nepal. The Kite Sellers were making profit, people queued to buy kites, but now things have taken a different turn. Over the last few years, the kite business has reduced by 70-80 percent. Less people are interested to fly kite, so what went wrong? 

Source: https://docs.google.com/document/d/1RvHpnGJeOy_bSAOzU2KEsleADPA8IhNhhedbKHYkVhM/edit?usp=sharing

Kite Shop location: https://maps.app.goo.gl/xGmYiodxmoP9eRJa6
Shop near Maitidevi Temple, 984-1665514


Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai (https://www.instagram.com/bishwa546/
Written by: Saugat Acharya(https://www.facebook.com/saugat.acharya.1004)
Edited by:  Dungrey (https://www.instagram.com/khadka__ajay/)
Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)"
How did Dashain Dhun Start?,98963,2023-10-15,5263,186,"We can hardly imagine Dashain without listening to the classic Malshree Dhun or Mangal Dhun. Anyone who hears the tune automatically feel that Dashain has arrived. But this tune that is now synonymous with Dashain has nothing to do with the festival itself, it in fact has its origin in Newa Culture. So, how did this transition happen? How did this Newa tune became the theme tune of Dashain?

Source: https://docs.google.com/document/d/1w6QqyLxtW9hXCtmlGI4ROJ0Z3iCtLKHupz5vNok8pbY/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Parash Bikram Khadka 
https://instagram.com/parashbikramk/

Written by: Bijay Sapkota(https://www.facebook.com/bijay.sapkota.71465)
Edited by: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)"
Inside the World of Fake Products in Nepal,300467,2023-09-30,10830,469,"I recently went on a journey to explore counterfeit and fake products in Nepal. What started as a simple curiosity led me into uncovering a world full of such products in Nepal, from Club Cola(impersonating Coca Cola) to multi million trademark law suit. Even strange was the fact that reputed industrialist and business houses were always easily copying other famous trademarks and with weak law and even weaker enforcement, this problem is bound to challenge Nepal in upcoming days. 

Sources: https://docs.google.com/document/d/1PS6VjmYvqy4EqgZDiofjrav400gHuAJpdpJFgT_y22U/edit?usp=sharing

Special thank you to Mr. Kailash Panday for his deep insights on the topic.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai (https://www.instagram.com/bishwa546/
Written by: Saugat Acharya(https://www.facebook.com/saugat.acharya.1004)
Edited by:  Dungrey (https://www.instagram.com/khadka__ajay/)

Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

If you are in need of a website or reliable hosting service, do check out : nestnepal.com"
When King Gyanendra and Prachanda almost became PARTNERS,1049647,2023-09-22,14965,746,"2062/63 Andolan or April 2006 revolution in Nepal was one of the biggest revolution in the history of Nepal where Maoist joined hands with political parties, one that ended monarchy and formed today's politics. During the decade long civil war, the Maoist were fighting with the government and the King. There were several attempts for negotiation between Maoist and the government but nothing concrete was agreed upon. But what a lot of people don't know is there were direct secret negotiations between Maoist and the King as well and they were very close to form a partnership and the political parties would have been on the receiving end. This is the story of that failed negotiation that laid the foundation for Nepal politics for last 2 decades. 

Source: https://docs.google.com/document/d/16Wdb8_wwLYJvZD4FCO9TQI_t490BsSAQFnlnDsSJhN8/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Parash Bikram Khadka 
https://instagram.com/parashbikramk/

Edited by:  Dungrey (https://www.instagram.com/khadka__ajay/)

Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)"
The Rise and Fall of SAFA TEMPO,318506,2023-09-11,9983,369,"For a brief moment in the 1990s, the Kathmandu was at the forefront of the zero-emission public transportation revolution. An electric vehicle revolution which most of us have now forgotten. This is the story of Safa Tempo, its rise from an experiment to a successful transport sector and how Diesel Mafia killed it as soon as it rose to the top. 

Source: https://docs.google.com/document/d/16iK16SP6NVk7N3b8FXlpyA-KPI7AjlC-vRQuTL4RKdg/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited and Animations by:  Dungrey (https://www.instagram.com/khadka__ajay/)

Thumbnail by :Rabi Kandel (https://www.instagram.com/proto_flex/)"
Biggest Banking Fraud of Nepal,186274,2023-09-06,6577,274,"Our Modern Finance System works on trust. The trust that financial institution will not cheat us and they will keep our money safe. But what happens when the ones running the bank turns out to be a culprit. This is the story of Capital Merchant Bank, once a successful commercial bank in Nepal. The founder and team running it launched one of the biggest banking scam in Nepali History. But the mastermind behind it is still not jailed, still enjoying his life freely, so what exactly happened?

Sajilo Sewa: https://onelink.to/7t9a7h

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Rubina Subedi (https://www.instagram.com/glitchinthematrix_._/)
Edited by: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)"
Bhimsen Thapa: Heroic Leader or Selfish Dictator?,750741,2023-08-23,15436,761,"Bhimsen Thapa might be one of the most controversial yet powerful figure in the history of Nepal. He was the longest serving prime minister of Nepal. He was at the power when Nepal was going through its most critical moment, the war with British East India Company. For many, he is a national hero, a man who built the beloved Dharahara, the man who reformed Nepali bureaucracy. But there are those who criticize him for inhumane political massacre, Bhandarkhal Prava, elimination of his political rivals and consolidated power within his own family. This is the story of Bhimsen Thapa and Nepali politics at that time.

From the books:
भीमसेन थापा: उत्थान तथा पतन by Baburam Acharya
जनरल भीमसेन थापा र तत्कालीन नेपाल by Chittaranjan Nepali
Aitihasik Upanyas Bhimsen Thapa by Shree Krishna Shrestha

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripa....]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Rubina Subedi (https://www.linkedin.com/in/rubina-subedi-284118234/)
Edited and Animations by:  Dungrey(https://www.instagram.com/khadka__ajay/)
Thumbnail by :Rabi Kandel (https://www.instagram.com/proto_flex/)"
How Nepathya Changed Nepali Music FOREVER? | Part 2,166140,2023-08-20,8954,382,"Nepathya might be one of the most influential and important music band in Nepal history. For the last three decades, they have been a force in nepali music industry. This is the story of how three young boys started this band, the extreme challenges they faced, and how they overcame all to arrive at success. This is the story of Nepathya, but this is also the story of Amrit Gurung who is the only member of the band that has remained constant in Nepathya. 

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai (https://www.instagram.com/bishwa546/
Edited by: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)"
How Nepathya Changed Nepali Music FOREVER? | Part 1,257025,2023-08-09,11046,477,"Nepathya might be one of the most influential and important music band in Nepal history. For the last three decades, they have been a force in nepali music industry. This is the story of how three young boys started this band, the extreme challenges they faced, and how they overcame all to arrive at success. This is the story of Nepathya, but this is also the story of Amrit Gurung who is the only member of the band that has remained constant in Nepathya. 

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai (https://www.instagram.com/bishwa546/
Edited by: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Animations and Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)

Ultima Exchange Mela : https://ultima.com.np/exchange/"
The Salt Revolution: How Nepal Overcame a Hidden Health Crisis,385863,2023-07-26,11819,427,"Most people don't realize that for decades Nepal was facing a serious health crisis that was affecting millions of people. Over 50% of the population had goiters - enlarged thyroid glands caused by a lack of iodine. Nepal lacked access to iodized salt and iodine supplements. This meant that children were being born with intellectual disabilities and other health issues. In this video, I'll share how Nepal overcame huge difficulties to finally solve this iodine crisis and bring an end to the goiter epidemic - a true hidden health success story.

Source: https://docs.google.com/document/d/1BL637k_SWAGlclr2JXMiVFkCSAjmiupPWQGPKuP9ko4/edit?usp=sharing

Let's connect : 

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Rijan Maharjan (https://www.facebook.com/rijan.maharjan.0528)
Animations and Edited by:  Dungrey (https://www.instagram.com/khadka__ajay/)
Thumbnail by: Rabi Kandel (https://www.instagram.com/proto_flex/)"
